BLS Job Title,LONG_OCC_CODE,Percentage with AA Degree or Less,Percentage with BA Degree or More,Total Employment (National),Mean Annual Wage (National),Annual Wage 10th Pct (National),Annual Wage 25th Pct (National),Median Annual Wage (National),Annual Wage 75th Pct (National),Annual Wage 90th Pct (National),Typical education needed for entry,Work experience in a related occupation,Non-Entry Level,BA Entry Level,Middle Skilled,Low Wage
Computer Operator,43-9011.00,64.9,35.1,,,,,,,,High school diploma or equivalent,None,False,False,True,False
Business Intelligence Analyst,15-1199.93,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
IT Project Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Network Engineer / Architect,15-1199.02,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Network Engineer / Architect,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Network Engineer / Architect,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Project Manager (General),15-1199.09,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
SAP Analyst / Admin,15-1199.93,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Software Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Java Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Data Warehouse Developer,15-1199.07,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
.NET Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
.NET Developer / Engineer,15-1199.01,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Application Developer / Engineer,15-1131.91,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Application Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Solutions Engineer,15-1131.91,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Solutions Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Communications Manager,11-2031.91,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
Cyber Security Consultant,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Cyber Security Consultant,15-1122.00,33.1,67.1,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
IT Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
SAP Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Consultant / Analyst,15-1199.00,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Consultant / Analyst,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Consultant / Analyst,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Senior Program Manager,11-9199.00,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
IT Director,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
IT Project Analyst,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Analyst,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Analyst,15-1152.00,51.5,48.4,,,,,,,,Associate's degree,None,False,False,True,False
Systems Analyst,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Engineer,15-1199.00,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Engineer,15-1199.02,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Engineer,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Engineer,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Manager / Director,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Program Manager,11-9199.00,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Investment / Portfolio Analyst,13-2051.00,12.7,87.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Application Analyst,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Fundraising Manager,11-2031.92,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
Computer Programmer,15-1131.91,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Contracts Administrator,13-1023.91,,,,,,,,,,,,False,False,True,False
Administrative Manager,11-3011.92,56.9,43.0,,,,,,,,Bachelor's degree,Less than 5 years,False,False,True,False
Data Analyst (General),15-1199.91,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Food Service Team Member,35-3021.00,92.8,7.3,,,,,,,,No formal educational credential,None,False,False,False,True
Fraud Examiner / Analyst,13-2099.04,42.1,58.0,,,,,,,,Bachelor's degree,None,False,True,False,False
Health Technician / Technologist (Other),29-2099.00,67.6,32.3,,,,,,,,Postsecondary nondegree award,None,False,False,True,False
Cyber Security Engineer,15-1122.00,33.1,67.1,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Data Engineer,15-1141.91,27.7,72.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Data Scientist,15-1111.91,6.3,93.8,,,,,,,,Master's degree,None,False,True,False,False
Devops Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
IT Program Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Mobile Developer / Engineer,15-1131.91,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Mobile Developer / Engineer,15-1131.92,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Risk Consultant,13-2099.02,42.1,58.0,,,,,,,,Bachelor's degree,None,False,True,False,False
Senior Data Analyst,15-1199.91,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Senior Web Developer,15-1134.92,30.8,69.3,,,,,,,,Associate's degree,None,False,True,False,False
Software QA Analyst,15-1199.01,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Software QA Lead,15-1199.01,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Application Support Engineer / Analyst,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Application Support Engineer / Analyst,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Communications Campaign Manager,11-2031.91,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
Compliance Manager,11-9199.01,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Corporate Development Analyst / Manager,11-9199.91,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Cyber Security Architect,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Cyber Security Architect,15-1122.00,33.1,67.1,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Data Analyst (Healthcare),15-1199.91,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Document Control / Management Specialist,15-1199.12,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Public Relations Manager,11-2031.91,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
Salesforce / CRM Developer,15-1199.94,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Salesforce Administrator,15-1141.00,27.7,72.3,,,,,,,,Bachelor's degree,None,False,True,False,False
User Experience (UX) Designer,15-1134.93,30.8,69.3,,,,,,,,Associate's degree,None,False,True,False,False
User Experience (UX) Researcher,15-1134.93,30.8,69.3,,,,,,,,Associate's degree,None,False,True,False,False
Business Continuity Planner / Analyst,13-1199.04,35.5,64.6,,,,,,,,Bachelor's degree,None,False,True,False,False
Cyber Security Manager / Administrator,15-1122.00,33.1,67.1,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Data Center Technician / Engineer,15-1141.00,27.7,72.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Data Quality Analyst,15-1199.91,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Financial Analyst (General),13-2051.00,12.7,87.2,,,,,,,,Bachelor's degree,None,False,True,False,False
IT Operations / Networking Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Investment Underwriter,13-2099.03,42.1,58.0,,,,,,,,Bachelor's degree,None,False,True,False,False
Middleware Administrator,15-1199.02,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Project Coordinator,15-1199.09,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Senior Financial Analyst,13-2051.00,12.7,87.2,,,,,,,,Bachelor's degree,None,False,True,False,False
